SAMPID	TISSUE_ABBRV	TISSUE_NAME
HG00285	LCL	Cells_EBV-transformed_lymphocytes
HG00306	LCL	Cells_EBV-transformed_lymphocytes
HG00308	LCL	Cells_EBV-transformed_lymphocytes
HG00309	LCL	Cells_EBV-transformed_lymphocytes
HG00310	LCL	Cells_EBV-transformed_lymphocytes
HG00311	LCL	Cells_EBV-transformed_lymphocytes
HG00313	LCL	Cells_EBV-transformed_lymphocytes
HG00315	LCL	Cells_EBV-transformed_lymphocytes
HG00319	LCL	Cells_EBV-transformed_lymphocytes
HG00320	LCL	Cells_EBV-transformed_lymphocytes
HG00321	LCL	Cells_EBV-transformed_lymphocytes
HG00323	LCL	Cells_EBV-transformed_lymphocytes
HG00324	LCL	Cells_EBV-transformed_lymphocytes
HG00325	LCL	Cells_EBV-transformed_lymphocytes
HG00326	LCL	Cells_EBV-transformed_lymphocytes
HG00327	LCL	Cells_EBV-transformed_lymphocytes
HG00328	LCL	Cells_EBV-transformed_lymphocytes
HG00329	LCL	Cells_EBV-transformed_lymphocytes
HG00330	LCL	Cells_EBV-transformed_lymphocytes
HG00331	LCL	Cells_EBV-transformed_lymphocytes
HG00332	LCL	Cells_EBV-transformed_lymphocytes
HG00334	LCL	Cells_EBV-transformed_lymphocytes
HG00335	LCL	Cells_EBV-transformed_lymphocytes
HG00336	LCL	Cells_EBV-transformed_lymphocytes
HG00337	LCL	Cells_EBV-transformed_lymphocytes
HG00338	LCL	Cells_EBV-transformed_lymphocytes
HG00339	LCL	Cells_EBV-transformed_lymphocytes
HG00341	LCL	Cells_EBV-transformed_lymphocytes
HG00342	LCL	Cells_EBV-transformed_lymphocytes
HG00343	LCL	Cells_EBV-transformed_lymphocytes
HG00344	LCL	Cells_EBV-transformed_lymphocytes
HG00345	LCL	Cells_EBV-transformed_lymphocytes
HG00346	LCL	Cells_EBV-transformed_lymphocytes
HG00349	LCL	Cells_EBV-transformed_lymphocytes
HG00350	LCL	Cells_EBV-transformed_lymphocytes
HG00351	LCL	Cells_EBV-transformed_lymphocytes
HG00353	LCL	Cells_EBV-transformed_lymphocytes
HG00355	LCL	Cells_EBV-transformed_lymphocytes
HG00356	LCL	Cells_EBV-transformed_lymphocytes
HG00358	LCL	Cells_EBV-transformed_lymphocytes
HG00360	LCL	Cells_EBV-transformed_lymphocytes
HG00361	LCL	Cells_EBV-transformed_lymphocytes
HG00362	LCL	Cells_EBV-transformed_lymphocytes
HG00364	LCL	Cells_EBV-transformed_lymphocytes
HG00365	LCL	Cells_EBV-transformed_lymphocytes
HG00366	LCL	Cells_EBV-transformed_lymphocytes
HG00367	LCL	Cells_EBV-transformed_lymphocytes
HG00369	LCL	Cells_EBV-transformed_lymphocytes
HG00371	LCL	Cells_EBV-transformed_lymphocytes
HG00372	LCL	Cells_EBV-transformed_lymphocytes
HG00373	LCL	Cells_EBV-transformed_lymphocytes
